product_id,nlp_vector
24615,name Dolce Gusto Lungo name_search dolce gusto lungo remarks Dolce Gusto Lungo synonyms koffie brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken
24616,"name Dolce Gusto espresso intenso name_search dolce gusto espresso intenso remarks Dolce Gusto espresso intenso synonyms espresso, koffie brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken"
24617,name Dolce Gusto grande intenso name_search dolce gusto grande intenso remarks Dolce Gusto grande intenso synonyms koffie brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken
24618,"name Dolce Gusto cappuccino name_search dolce gusto cappuccino remarks Dolce Gusto cappuccino synonyms koffie, koffie met melk brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken"
24619,"name Dolce Gusto cappuccino ice name_search dolce gusto cappuccino ice remarks Dolce Gusto cappuccino ice synonyms ijskoffie, koffie brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken"
24620,name Dolce Gusto Marrakesh Style tea name_search dolce gusto marrakesh style tea remarks Dolce Gusto Marrakesh Style tea synonyms thee brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken
24621,"name Dolce Gusto chococino name_search dolce gusto chococino remarks Dolce Gusto chococino synonyms chocolademelk, chocomelk brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken, melkproducten en vervangers"
24622,"name Dolce Gusto Nesquik name_search dolce gusto nesquik remarks Dolce Gusto Nesquik synonyms chocolademelk, chocomelk brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken, melkproducten en vervangers"
24623,"name Koffie, Espresso-sticks name_search koffie, espresso-sticks synonyms koffie brands NescafÃ© brands_search nescafe bron NescafÃ© categories dranken"
24624,name Wrap volkoren name_search wrap volkoren remarks Wrap complet synonyms tortilla brands Santa Maria brands_search santa maria bron Santa Maria categories aardappelen en graanproducten
24625,"name Bulgur, gekookt name_search bulgur, gekookt synonyms bulghur bron Nubel categories aardappelen en graanproducten"
24626,"name Delhaize bladerdeegpastei, videe name_search delhaize bladerdeegpastei, videe synonyms videe, videebroodje, videegebak, videepastei bron Delhaize categories aardappelen en graanproducten"
24627,name Taco shells name_search taco shells synonyms taco brands Poco Loco brands_search poco loco bron Poco Loco categories aardappelen en graanproducten
24628,"name SchÃ¤r Grissini GV glutenvrij name_search schar grissini gv glutenvrij synonyms broodstokjes, glutenvrij, lactosevrij brands SchÃ¤r brands_search schar bron SchÃ¤r categories aardappelen en graanproducten"
24629,"name SchÃ¤r toast glutenvrij name_search schar toast glutenvrij synonyms cracker, glutenvrij, lactosevrij, toast brands SchÃ¤r brands_search schar bron SchÃ¤r categories aardappelen en graanproducten"
24630,"name SchÃ¤r glutenvrije crackers name_search schar glutenvrije crackers synonyms cracker, glutenvrij, lactosevrij, toast brands SchÃ¤r brands_search schar bron SchÃ¤r categories aardappelen en graanproducten"
24631,"name Wasa gluten en lactosevrij toast synonyms cracker, glutenvrij, lactosevrij, toast bron Wasa"
24632,name Papadum name_search papadum synonyms indiaans bijgerecht obv zwarte linzen bron internet categories aardappelen en graanproducten
24633,"name SchÃ¤r speculoos glutenvrij name_search schar speculoos glutenvrij synonyms glutenvrij, koek, koeken, lactosevrij brands SchÃ¤r brands_search schar bron SchÃ¤r categories extra"
24634,"name SchÃ¤r Salinis, glutenvrije krakelingen name_search schar salinis, glutenvrije krakelingen synonyms glutenvrij, koek, krakelingen, lactosevrij brands SchÃ¤r brands_search schar bron SchÃ¤r categories extra"
24635,"name Damhert Cracotte glutenvrij name_search damhert cracotte glutenvrij remarks Damhert Cracotte glutenvrij synonyms cracottes, glutenvrij, toast brands Damhert  nutrition brands_search damhert  nutrition bron Damhert categories aardappelen en graanproducten"
24636,"name Quaker Havermout multifruit name_search quaker havermout multifruit remarks Quaker Flocons d'avoine multifruits synonyms havermout, ontbijtgranen brands Quaker brands_search quaker bron Quaker categories aardappelen en graanproducten"
24637,"name Havermout natuur name_search havermout natuur remarks Flocons d'avoine nature (Quaker) synonyms havermout, ontbijtgranen brands Quaker brands_search quaker bron Quaker categories aardappelen en graanproducten"
24638,"name Ontbijtgranen Kellogg's All-Bran Fruit'n fibre name_search ontbijtgranen kelloggs all-bran fruitn fibre remarks CÃ©rÃ©ales Kellogg's All-Bran Fruit 'n Fibre synonyms cereales, cruesli, muesli, ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24639,"name Quaker Cruesli kids chocolade b name_search quaker cruesli kids chocolade b remarks Quaker Cruesli kids chocolate synonyms cereales, cruesli, ontbijtgranen brands Quaker brands_search quaker bron Quaker categories aardappelen en graanproducten"
24640,"name Cruesli nut mix (4 nuts) remarks Cruesli nut mix (4 nuts) synonyms cruesli, ontbijtgranen bron Quaker"
24641,"name Quaker Cruesli rozijnen name_search quaker cruesli rozijnen remarks Quaker Cruesli raisin synonyms cruesli, ontbijtgranen brands Quaker brands_search quaker bron Quaker categories aardappelen en graanproducten"
24642,"name Ontbijtgranen Extra met 3 vruchten name_search ontbijtgranen extra met 3 vruchten synonyms cruesli, muesli, ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24643,"name Ontbijtgranen extra crunchy muesli pure chocolade en hazelnoten name_search ontbijtgranen extra crunchy muesli pure chocolade en hazelnoten remarks CÃ©rÃ©ales extra crunchy muesli chocolat noir et noisettes synonyms cruesli, muesli, ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24644,"name Ontbijtgranen zomervruchten bio name_search ontbijtgranen zomervruchten bio synonyms bio, cruesli, muesli brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24645,"name Ontbijtgranen melkchocolade name_search ontbijtgranen melkchocolade synonyms cruesli, ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24646,"name Ontbijtgranen Kellogg's All-Bran prebiotic Oaty clusters name_search ontbijtgranen kelloggs all-bran prebiotic oaty clusters remarks CÃ©rÃ©ales Kellogg's All-Bran prebiotic Oaty clusters synonyms cereales, cruesli, ontbijtgranen brands Kellogg's brands_search kelloggs bron Kellogg's categories aardappelen en graanproducten"
24647,"name Granola appel met stevia name_search granola appel met stevia remarks Granola pome avec stevia synonyms granola, ontbijtgranen brands Delhaize brands_search delhaize bron Delhaize categories aardappelen en graanproducten"
24648,"name Granola choco & frambozen name_search granola choco & frambozen remarks Granola choco & frambozen synonyms granola, ontbijtgranen brands Delhaize brands_search delhaize bron Delhaize categories aardappelen en graanproducten"
24649,"name Granola rode vruchten name_search granola rode vruchten remarks Granola fruits rouges synonyms granola, ontbijtgranen brands Delhaize brands_search delhaize bron Delhaize categories aardappelen en graanproducten"
